"date","value"
"08/10","Larry,Laurent"
"08/11","Lelia,Claire"
"08/12","Clarisse"
"08/13","Hippolyte"
"08/14","Evrard"
"08/15","Marie,Myriam,ASSOMPTION"
"08/16","Serena,Rocky,Armel"
"08/17","Hyacinthe"
"08/18","Hélène,Léna"
"08/19","Sarah,Sarina,Eudes"
"08/20","Rey,Bernard,Samuel"
"08/21","Jane,Janice,Christophe"
"08/22","Fabrice"
"08/23","Rose"
"08/24","Barthélémy"
"08/25","Leonard,Louis"
"08/26","Trevor,Natacha"
"08/27","Monique"
"08/28","Augustin"
"08/29","Sabine,Sabrina"
"08/30","Fiacre"
"08/31","Aristide"
"09/1","giles,gilles"
"09/2","brook,ingrid"
"09/3","grégoire"
"09/4","rosalie"
"09/5","bertha,raissa"
"09/6","bertrand"
"09/7","reine"
"09/8","adrian,adriana"
"09/9","alain"
"09/10","inès"
"09/11","adelphe"
"09/12","guy"
"09/13","aimé"
"09/14","letty"
"09/15","roland"
"09/16","cornelius,edith,edith"
"09/17","lambert,renaud"
"09/18","nadège"
"09/19","morgan,emilie"
"09/20","?"
"09/21","matthieu"
"09/22","maurice,maurice"
"09/23","?"
"09/24","scottie,scotty"
"09/25","barrie,barry,hermann"
"09/26","Côme,Damien"
"09/27","Vincent de Paul,Adulphe,Gaïenne,Heltrude,Néomise,Térence"
"09/28","venceslas"
"09/29","mia,michael,michel"
"09/30","jérôme"
"10/1","remy,thérèse"
"10/2","léger"
"10/3","kelvin,gérard"
"10/4","frank,francis,françois"
"10/5","chester,fleur"
"10/6","bruno,bruno"
"10/7","serge"
"10/8","Pélagie,Morgan"
"10/9","dennis,denis"
"10/10","Ghislain"
"10/11","kendall,kendra,firmin"
"10/12","wilfrid,wilfried"
"10/13","eddy,géraud"
"10/14","Juste"
"10/15","teresa,tessa"
"10/16","gerard"
"10/17","brad,baudouin"
"10/18","lukas,luke,luc"
"10/19","cleopatra,rené"
"10/20","adeline"
"10/21","ursula,wendy,céline"
"10/22","elodie"
"10/23","Jean de Capistran"
"10/24","florentin"
"10/25","crispin,crépin"
"10/26","dimitri"
"10/27","emeline"
"10/28","simon,jude"
"10/29","narcisse"
"10/30","Bienvenue"
"10/31","quentin"
"11/1","*Toussaint*"
"11/2","*Défunts*"
"11/3","hubert,winifred,hubert"
"11/4","charles,charles"
"11/5","beth,bethany,sylvie"
"11/6","bertille,leonard"
"11/7","engelbert,carine,karine"
"11/8","jeff,geoffroy"
"11/9","theodore"
"11/10","justin,leon"
"11/11","martin"
"11/12","colleen,collin,christian,diego"
"11/13","brice,bruce,brice"
"11/14","Vanessa,Sidoine"
"11/15","Leopold,Albert"
"11/16","Gertrude,Marguerite"
"11/17","Hilda,Elisabeth"
"11/18","Aude"
"11/19","Elise,tanguy"
"11/20","Edmond"
"11/21","Présentation de la Vierge Marie"
"11/22","Cecilia,cécile"
"11/23","Clément"
"11/24","Flora"
"11/25","Catherine,kate"
"11/26","Delphine"
"11/27","Virgil,Virginia,Séverin"
"11/28","?"
"11/29","saturnin"
"11/30","andrew,andy,andré"
"1/1","bianca,naomi,florence"
"12/2","taylor,viviane"
"12/3","xavier"
"12/4","barbara,barbie,barbara"
"12/5","gérald"
"12/6","nicolas,nicole,nicolas"
"12/7","ambrose,ambroise"
"12/8","spence,spencer"
"12/9","?"
"12/10","Emily"
"12/11","Daniel"
"12/12","?"
"12/13","Cindy,Lucie"
"12/14","odile"
"12/15","ninon"
"12/16","adela,alice"
"12/17","gael"
"12/18","russell,gatien"
"12/19","darius,urbain"
"12/20","roxana,jacob"
"12/21","?"
"12/22","xavière"
"12/23","armand"
"12/24","eve,evelyn,adèle"
"12/25","Anastasia,Emmanuel"
"12/26","Stefan,Etienne"
"12/27","Jean"
"12/28","?"
"12/29","Dave,David"
"12/30","Roger"
"12/31","Silvester,Sylvestre"
