date,color
2023-01-16,white
2023-01-17,red
2023-01-18,red
2023-01-19,red
2023-01-20,red
2023-01-21,white
2023-01-23,red
2023-01-24,red
2023-01-25,red
2023-01-26,red
2023-01-27,red
2023-01-28,white
2023-01-30,red
2023-01-31,red
2023-02-01,white
2023-02-02,white
2023-02-03,white
2023-02-04,white
2023-02-06,red
2023-02-07,red
2023-02-08,red
2023-02-09,red
2023-02-10,red
2023-02-11,white
2023-02-13,white
2023-02-14,white
2023-02-15,white
2023-02-16,white
2023-02-22,white
2023-02-23,white
2023-02-24,white
2023-02-27,white
2023-02-28,white
2023-03-01,red
2023-03-02,red
2023-03-03,white
2023-03-06,white
2023-03-07,white
2023-04-04,white
2023-04-05,white
2023-04-06,white
2023-04-07,white
2023-04-13,white
2023-04-25,white
2023-04-26,white
2023-06-07,white
2023-06-08,white
2023-06-09,white
2023-06-12,white
2023-11-22,white
2023-11-27,white
2023-11-28,white
2023-11-29,red
2023-11-30,white
2023-12-01,red
2023-12-02,white
2023-12-05,white
2023-12-06,red
2023-12-07,white
2023-12-08,white
2023-12-14,white
2023-12-15,white
2023-12-16,white
2023-12-18,red
2023-12-19,white
